FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021-01-27 5:23:41,33.93911,67.709953,54750,2389,47459,4902,Afghanistan,140.6430343,4.36347032
,,,Albania,2021-01-27 5:23:41,41.1533,20.1683,73691,1332,44880,27479,Albania,2560.671346,1.807547733
,,,Algeria,2021-01-27 5:23:41,28.0339,1.6596,106097,2871,72336,30890,Algeria,241.9486351,2.706014308
,,,Andorra,2021-01-27 5:23:41,42.5063,1.5218,9638,97,8774,767,Andorra,12473.95328,1.00643287
,,,Angola,2021-01-27 5:23:41,-11.2027,17.8739,19553,462,17388,1703,Angola,59.49260804,2.362808776
,,,Antigua and Barbuda,2021-01-27 5:23:41,17.0608,-61.7964,201,6,170,25,Antigua and Barbuda,205.2528388,2.985074627
,,,Argentina,2021-01-27 5:23:41,-38.4161,-63.6167,1885210,47253,1674555,163402,Argentina,4171.208297,2.506511211
,,,Armenia,2021-01-27 5:23:41,40.0691,45.0382,166232,3052,155404,7776,Armenia,5609.816842,1.835988257
,,Australian Capital Territory,Australia,2021-01-27 5:23:41,-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.56365335,2.542372881
,,New South Wales,Australia,2021-01-27 5:23:41,-33.8688,151.2093,5093,54,3252,1787,"New South Wales, Australia",62.73712737,1.060278814
,,Northern Territory,Australia,2021-01-27 5:23:41,-12.4634,130.8456,98,0,90,8,"Northern Territory, Australia",39.90228013,0
,,Queensland,Australia,2021-01-27 5:23:41,-27.4698,153.0251,1306,6,1282,18,"Queensland, Australia",25.5302512,0.4594180704
,,South Australia,Australia,2021-01-27 5:23:41,-34.9285,138.6007,596,4,592,0,"South Australia, Australia",33.93111301,0.6711409396
,,Tasmania,Australia,2021-01-27 5:23:41,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
,,Victoria,Australia,2021-01-27 5:23:41,-37.8136,144.9631,20444,820,19593,31,"Victoria, Australia",308.3606088,4.01095676
,,Western Australia,Australia,2021-01-27 5:23:41,-31.9505,115.8605,897,9,873,15,"Western Australia, Australia",34.09868471,1.003344482
,,,Austria,2021-01-27 5:23:41,47.5162,14.5501,407140,7515,384926,14699,Austria,4520.563155,1.845802427
,,,Azerbaijan,2021-01-27 5:23:41,40.1431,47.5769,229358,3100,221116,5142,Azerbaijan,2262.097261,1.351598811
,,,Bahamas,2021-01-27 5:23:41,25.025885,-78.035889,8140,175,6746,1219,Bahamas,2069.940597,2.14987715
,,,Bahrain,2021-01-27 5:23:41,26.0275,50.55,100689,370,97006,3313,Bahrain,5917.372235,0.3674681445
,,,Bangladesh,2021-01-27 5:23:41,23.685,90.3563,532916,8055,477426,47435,Bangladesh,323.5885582,1.511495245
,,,Barbados,2021-01-27 5:23:41,13.1939,-59.5432,1401,10,649,360,Barbados,496.5706352,0.7137758744
,,,Belarus,2021-01-27 5:23:41,53.7098,27.9534,239482,1668,224925,12889,Belarus,2534.383158,0.6965032863
,,Antwerp,Belgium,2021-01-27 5:23:41,51.2195,4.4024,86729,0,0,86729,"Antwerp, Belgium",4667.903849,0
,,Brussels,Belgium,2021-01-27 5:23:41,50.8503,4.3517,87018,0,0,87018,"Brussels, Belgium",7200.246247,0
,,East Flanders,Belgium,2021-01-27 5:23:41,51.0362,3.7373,71926,0,0,71926,"East Flanders, Belgium",4747.390209,0
,,Flemish Brabant,Belgium,2021-01-27 5:23:41,50.9167,4.5833,53048,0,0,53048,"Flemish Brabant, Belgium",4628.263572,0
,,Hainaut,Belgium,2021-01-27 5:23:41,50.5257,4.0621,107518,0,0,107518,"Hainaut, Belgium",7998.416951,0
,,Liege,Belgium,2021-01-27 5:23:41,50.4496,5.8492,100585,0,0,100585,"Liege, Belgium",9086.334861,0
,,Limburg,Belgium,2021-01-27 5:23:41,50.9739,5.342,33375,0,0,33375,"Limburg, Belgium",3818.440177,0
,,Luxembourg,Belgium,2021-01-27 5:23:41,50.0547,5.4677,19651,0,0,19651,"Luxembourg, Belgium",6903.856829,0
,,Namur,Belgium,2021-01-27 5:23:41,50.331,4.8221,37108,0,0,37108,"Namur, Belgium",7506.802205,0
,,Unknown,Belgium,2021-01-27 5:23:41,,,12329,20879,0,-8550,"Unknown, Belgium",,169.3486901
,,Walloon Brabant,Belgium,2021-01-27 5:23:41,50.4,4.35,26856,0,0,26856,"Walloon Brabant, Belgium",6654.12947,0
,,West Flanders,Belgium,2021-01-27 5:23:41,51.0536,3.1458,60499,0,0,60499,"West Flanders, Belgium",5059.307775,0
,,,Belize,2021-01-27 5:23:41,17.1899,-88.4976,11788,293,11187,308,Belize,2964.63215,2.485578554
,,,Benin,2021-01-27 5:23:41,9.3077,2.3158,3643,48,3317,278,Benin,30.04982679,1.317595388
,,,Bhutan,2021-01-27 5:23:41,27.5142,90.4336,856,1,755,100,Bhutan,110.9365847,0.1168224299
,,,Bolivia,2021-01-27 5:23:41,-16.2902,-63.5887,205208,10105,152555,42548,Bolivia,1757.96702,4.924271958
,,,Bosnia and Herzegovina,2021-01-27 5:23:41,43.9159,17.6791,120532,4621,93332,22579,Bosnia and Herzegovina,3673.843237,3.833836657
,,,Botswana,2021-01-27 5:23:41,-22.3285,24.6849,20658,124,16794,3740,Botswana,878.4563865,0.6002517185
,,Acre,Brazil,2021-01-27 5:23:41,-9.0238,-70.812,46774,856,39265,6653,"Acre, Brazil",5303.565456,1.830076538
,,Alagoas,Brazil,2021-01-27 5:23:41,-9.5713,-36.782,115383,2701,110050,2632,"Alagoas, Brazil",3457.316673,2.340899439
